@relation user_cluster

@attribute UID numeric
@attribute DIFF numeric

@data
686755107,1650.13196759
1414853088,1383.69157407
1474920520,917.796079282
1150803463,-678.62681713
1510269705,714.681346065
1362210165,887.10146412
789928097,2553.4525463
530400547,-888.08943287
1112598537,370.516064815
1408863320,-112.352855903
530497221,1690.35254051
519497028,1624.9871875
1767940677,1204.14788773
728580460,693.316421296
643099251,83.464849537
658190647,1117.32238426
1328880261,-14.9075231481
1367514552,407.969236111
685393029,2040.13810185
1075339188,708.495700231
1033220808,-105.384421296
543852009,2402.63872685
709030480,705.977771991
625341067,24.3073958333
512392541,1144.48406539
1373700508,47.6923032407
1411841120,-211.071091821
1561741423,-315.86478588
1373700503,249.650613426
1373700504,-916.141273148
520799505,-4.86263888888
1373700507,-143.98255787
654846704,758.083790509
1840000505,888.31365162
1248357249,-398.261261574
1341660154,-8.87403935182
1658761633,833.316090856
525880263,3441.16133102
774507593,839.026631944
100001859630476,2199.68150463
662220975,472.965439815
1156380492,1411.57806713
1334371001,19.8570057189
540597581,372.075532407
1532535030,2325.08966435
1365295848,291.860017361
743925227,36.1816666666
732248550,624.560190972
1197922529,55.888537037
804441123,13.8606365741
1124370168,-181.87271412
1542076885,773.687858796
1312627912,536.552737269
692750828,228.704351852
1367163932,317.992349537
524016109,1096.66104167
697441458,1067.18974537
1143702013,1232.72584491
100000123413288,2756.88450231
100002196115915,324.334652778
739833102,1276.10306713
530965489,829.045548322
706379281,-366.788993056
507571754,-194.900347222
1230452533,573.046727431
100001141200125,1317.46388889
1369934747,329.960528549
615673905,226.025185185
100002624465981,975.223572685
503572572,446.474238426
1437886869,589.51661169
553962254,1601.00172454
28900154,2083.66909722
1643843788,1580.85594907
1326990261,-62.0146990741
1363777625,50.0899537037
1452721162,1857.10623843
1279886853,1369.77344907
1348685965,444.731226852
1459607473,419.281940586
562010406,673.224043485
1230931869,1.21526620374
1372340380,3214.79534144
100000259424891,202.125779321
1188532231,51.7956828703
100001808704421,696.504924769
519545035,759.950852623
1662774068,721.878055556
